,index,year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate,depth,time,ID,date,start,end,mid_time_deciyear,type,Named_SSEs,Start,End,Average date of GPS maximum speed,Date of maximum moment rate,Maximum moment rate,Total moment released,start_yr,start_doy,start_dec_year,end_yr,end_doy,end_dec_year,Mw_Est,cent_long,cent_lat,Event,Start_year,Start_month,Start_day,End_year,End_month,End_day,Duration,Lon_geom,Lat_geom,Z_geom,Lon_pot,Lat_pot,Z_pot,Lon_mom,Lat_mom,Z_mom,Mw,Area,Potency,Moment,Max_slip,Mean_slip,Max_slip_rate,Mean_slip_rate,Start_time,End_time,year_time,SSE_number_michel2019,min_start,max_start,min_end,max_end,len,wid,str,M0,dur,Mw_error,Duration_error,Longitude,Latitude,Depth,Time,Aseismic_percent
16,825.0,1996.0,11.0,7.0,,,,34.95,138.295,19.9,5.83,242.0,16.0,80.0,69.0,36.0,0.007,,Nishimura2013-SSE,Nishimura (2013),2018-06-25,19.9,1996-11-07 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,22.0,1996.0,11.0,24.0,,,,32.95927,132.77333,14.047,6.9,212.2,17.1,87.7,72.0,78.0,0.108,32227200.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31,14.047,1996-11-24 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,824.0,1997.0,1.0,22.0,,,,34.92,137.017,26.0,5.87,208.0,10.0,75.0,40.0,35.0,0.014,,Nishimura2013-SSE,Nishimura (2013),2018-06-25,26.0,1997-01-22 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5.0,1997.0,1.0,26.0,,,,35.31,138.69099,3.8,5.63,191.0,35.0,79.0,39.0,59.0,0.004,4320000.0,Nishimura2021c-SSE,Nishimura (2021),2021-08-30,3.8,1997-01-26 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,142.0,1997.0,2.0,4.0,,,,31.744,131.54601,29.092,6.35,196.2,32.6,35.5,82.0,40.0,0.032,3456000.0,Okada2022a-SSE,Okada et al. (2022),2022-04-05,29.092,1997-02-04 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3.0,1997.0,2.0,11.0,,,,34.851,141.75,13.3,6.66,260.0,5.0,121.0,41.0,38.0,0.199,3456000.0,Nishimura2021b-SSE,Nishimura (2021),2021-08-30,13.3,1997-02-11 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,823.0,1997.0,3.0,20.0,,,,33.674,133.23599,28.8,6.23,234.0,7.0,107.0,86.0,35.0,0.023,,Nishimura2013-SSE,Nishimura (2013),2018-06-25,28.8,1997-03-20 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,221.0,1997.0,3.0,30.0,,,,24.158,123.823,29.2,6.46,258.0,24.0,87.0,28.0,40.0,0.136,,Nishimura2014-SSE,Nishimura (2014),2017-11-29,29.2,1997-03-30 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,822.0,1997.0,4.0,3.0,,,,33.883,136.035,25.6,5.87,245.0,22.0,129.0,54.0,34.0,0.011,,Nishimura2013-SSE,Nishimura (2013),2018-06-25,25.6,1997-04-03 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,7.0,1997.0,4.0,28.0,,,,35.033,140.722,47.8,6.05,182.0,23.0,96.0,37.0,40.0,0.026,1036800.0,Nishimura2021a-SSE,Nishimura (2021),2021-08-30,47.8,1997-04-28 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,140.0,1997.0,5.0,4.0,,,,31.946,131.77299,23.707,6.22,196.9,25.6,68.8,107.0,34.0,0.018,86400.0,Okada2022a-SSE,Okada et al. (2022),2022-04-05,23.707,1997-05-04 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,140.0,1997.0,5.0,30.0,,,,35.112,138.526,11.871,5.69,215.6,21.4,87.2,77.0,37.0,0.004,1036800.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05,11.871,1997-05-30 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,8.0,1997.0,7.0,26.0,,,,36.088,140.584,49.4,6.01,182.0,23.0,81.0,33.0,41.0,0.025,86400.0,Nishimura2021a-SSE,Nishimura (2021),2021-08-30,49.4,1997-07-26 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,6.0,1997.0,8.0,12.0,,,,34.771,137.289,24.5,6.0,282.0,13.0,125.0,54.0,42.0,0.014,691200.0,Nishimura2021c-SSE,Nishimura (2021),2021-08-30,24.5,1997-08-12 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,220.0,1997.0,8.0,18.0,,,,26.946,128.80099,26.5,6.06,218.0,23.0,114.0,43.0,38.0,0.023,,Nishimura2014-SSE,Nishimura (2014),2017-11-29,26.5,1997-08-18 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,219.0,1997.0,9.0,2.0,,,,30.645,131.379,23.0,6.23,200.0,21.0,66.0,58.0,46.0,0.026,,Nishimura2014-SSE,Nishimura (2014),2017-11-29,23.0,1997-09-02 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,138.0,1997.0,9.0,12.0,,,,33.606,132.91701,25.301,6.38,203.2,9.6,85.3,122.0,70.0,0.014,2332800.0,Okada2022a-SSE,Okada et al. (2022),2022-04-05,25.301,1997-09-12 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,217.0,1997.0,9.0,18.0,,,,24.322,123.699,37.3,6.3,261.0,31.0,119.0,41.0,40.0,0.052,,Nishimura2014-SSE,Nishimura (2014),2017-11-29,37.3,1997-09-18 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,9.0,1997.0,10.0,2.0,,,,35.322,142.049,10.5,6.38,185.0,14.0,96.0,40.0,41.0,0.071,1382400.0,Nishimura2021a-SSE,Nishimura (2021),2021-08-30,10.5,1997-10-02 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,137.0,1997.0,10.0,7.0,,,,33.779,134.42,24.359,5.97,266.5,8.0,154.3,76.0,32.0,0.012,604800.0,Okada2022a-SSE,Okada et al. (2022),2022-04-05,24.359,1997-10-07 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,10.0,1997.0,10.0,10.0,,,,36.46,142.5,13.8,6.35,213.0,13.0,100.0,40.0,40.0,0.066,0.0,Nishimura2021a-SSE,Nishimura (2021),2021-08-30,13.8,1997-10-10 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,818.0,1997.0,10.0,30.0,,,,35.094,138.177,24.6,5.77,239.0,18.0,87.0,50.0,35.0,0.008,,Nishimura2013-SSE,Nishimura (2013),2018-06-25,24.6,1997-10-30 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,216.0,1997.0,10.0,31.0,,,,28.024,129.67,25.4,6.25,225.0,21.0,80.0,17.0,37.0,0.118,,Nishimura2014-SSE,Nishimura (2014),2017-11-29,25.4,1997-10-31 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,5.0,1997.0,11.0,11.0,,,,35.247,140.8,17.6,5.74,248.0,20.0,81.0,38.0,37.0,0.009,3283200.0,Nishimura2021b-SSE,Nishimura (2021),2021-08-30,17.6,1997-11-11 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
