lon,lat,depth
140.3,35.0,51847.0153809
140.35,35.0,49671.0472107
140.4,35.0,47487.4763489
140.45,35.0,45306.4689636
140.5,35.0,43140.5296326
140.55,35.0,41003.6239624
140.6,35.0,38910.3317261
140.65,35.0,36874.9771118
140.7,35.0,34910.881042500005
140.75,35.0,33029.727935799994
140.8,35.0,31241.0240173
140.85,35.0,29551.776886
140.9,35.0,27966.3085938
140.95,35.0,26486.2480164
141.0,35.0,25110.7120514
141.05,35.0,23836.6031647
141.1,35.0,22659.042358400002
141.15,35.0,21571.842193599998
141.2,35.0,20568.0198669
141.25,35.0,19640.270233199997
141.3,35.0,18781.3682556
141.35,35.0,17984.4665527
141.4,35.0,17243.2823181
141.45,35.0,16552.1736145
141.5,35.0,15906.1079025
141.55,35.0,15300.579071
141.6,35.0,14731.4834595
141.65,35.0,14195.0082779
141.7,35.0,13687.5476837
141.75,35.0,13205.6694031
141.8,35.0,12746.1385727
141.85,35.0,12305.9959412
141.9,35.0,11882.6580048
141.95,35.0,11474.0362167
142.0,35.0,11078.6371231
142.05,35.0,10695.6233978
134.35,34.95,388019.59228499996
134.4,34.95,385963.50097700005
134.45,34.95,383923.461914
134.5,34.95,381897.918701
134.55,34.95,379884.97924799996
134.6,34.95,377882.507324
134.65,34.95,375888.366699
134.7,34.95,373900.482178
134.75,34.95,371917.05322299997
134.8,34.95,369936.58447299997
134.85,34.95,367957.977295
134.9,34.95,365980.46875
134.95,34.95,364003.570557
135.0,34.95,362026.885986
135.05,34.95,360050.07934600004
135.1,34.95,358072.570801
135.15,34.95,356093.32275399996
135.2,34.95,354110.870361
135.25,34.95,352123.10790999996
135.3,34.95,350127.22778300004
135.35,34.95,348119.90356400004
135.4,34.95,346097.290039
135.45,34.95,344055.206299
135.5,34.95,341989.31884799997
135.55,34.95,339895.355225
135.6,34.95,337769.40918
135.65,34.95,335607.971191
135.7,34.95,333408.447266
135.75,34.95,331169.00634799997
135.8,34.95,328889.068604
135.85,34.95,326569.21386699995
135.9,34.95,324211.456299
135.95,34.95,321819.091797
136.0,34.95,319396.820068
136.05,34.95,316950.56152299995
136.1,34.95,314487.304688
136.15,34.95,312014.801025
136.2,34.95,309541.351318
136.25,34.95,307075.3479
136.3,34.95,304624.969482
136.35,34.95,302197.601318
136.4,34.95,299799.621582
136.45,34.95,297435.852051
136.5,34.95,295109.191895
136.55,34.95,292820.43457
136.6,34.95,290567.77954099997
136.65,34.95,288346.80175800005
136.7,34.95,286150.299072
136.75,34.95,283968.261719
136.8,34.95,281788.02490200003
136.85,34.95,279594.543457
136.9,34.95,277370.788574
136.95,34.95,275098.35815399996
