publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty,Month,Year
2887121,earthquake,2008-03-30 10:17:24.684000+00:00,2013-02-18T14:16:00.000Z,175.65837,-38.97905,2.254,5.0,ML,,GROPE,reviewed,manual,nz1dr,24,21,14,0.028,66,0.15154,0.194,3,2008
2887119,earthquake,2008-03-30 10:12:40.668000+00:00,2013-02-18T14:16:00.000Z,175.65112,-38.97973,1.382,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,11,7,9,0.034,159,0.10679,0.164,3,2008
2887116,earthquake,2008-03-30 10:07:44.374000+00:00,2013-02-18T14:16:00.000Z,175.6656,-38.98134,1.904,6.1415,ML,,GROPE,reviewed,manual,nz1dr,16,13,8,0.023,91,0.14628,0.105,3,2008
2887114,earthquake,2008-03-30 10:00:54.626000+00:00,2013-02-18T14:16:00.000Z,174.81224,-40.79225,1.949,20.8835,ML,,GROPE,reviewed,manual,nz1dr,10,6,5,0.102,247,0.14972,0.222,3,2008
2887108,earthquake,2008-03-30 09:49:43.018000+00:00,2013-02-18T14:16:00.000Z,175.65216,-38.97805,1.737,5.1402,ML,,GROPE,reviewed,manual,nz1dr,16,12,8,0.033,95,0.06358,0.113,3,2008
2887107,earthquake,2008-03-30 09:43:39.698000+00:00,2013-02-18T14:16:00.000Z,167.44759,-44.76252,3.6,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,13,7,15,0.352,219,0.18457,0.17,3,2008
2887089,earthquake,2008-03-30 08:49:07.308000+00:00,2013-02-18T14:16:00.000Z,177.89827,-39.24946,3.246,25.0889,ML,,GROPE,reviewed,manual,nz1dr,23,19,5,0.095,201,0.21444,0.105,3,2008
2887086,earthquake,2008-03-30 08:41:18.495000+00:00,2013-02-18T14:16:00.000Z,176.80959,-37.80722,2.079,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,12,10,7,0.206,213,0.28286,0.111,3,2008
2887084,earthquake,2008-03-30 08:33:12.692000+00:00,2013-02-18T14:16:00.000Z,174.1938,-39.67661,2.787,139.677,ML,,GROPE,reviewed,manual,nz1dr,17,14,9,0.616,172,0.18857,0.236,3,2008
2887083,earthquake,2008-03-30 08:31:19.745000+00:00,2013-02-18T14:16:00.000Z,172.33813,-41.41448,1.758,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,5,3,4,0.52,144,0.03545,0.284,3,2008
2887067,earthquake,2008-03-30 07:52:03.595000+00:00,2013-02-18T14:16:00.000Z,176.42192,-38.25485,2.243,0.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,8,8,3,0.068,75,0.17852,0.182,3,2008
2887056,earthquake,2008-03-30 07:23:04.041000+00:00,2013-02-18T14:16:00.000Z,175.68655,-38.08834,3.135,189.8083,ML,,GROPE,reviewed,manual,nz1dr,17,13,12,1.249,251,0.38859,0.256,3,2008
2887586,earthquake,2008-03-30 07:10:56.903000+00:00,2013-02-18T14:17:00.000Z,176.69554,-37.81815,2.181,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,10,7,6,0.115,220,0.15061,0.115,3,2008
2887050,earthquake,2008-03-30 07:10:41.828000+00:00,2013-02-18T14:16:00.000Z,175.40181,-39.23822,1.303,20.9865,ML,,GROPE,reviewed,manual,nz1dr,8,4,3,0.116,274,0.08611,0.18,3,2008
2887038,earthquake,2008-03-30 06:36:06.300000+00:00,2013-02-18T14:16:00.000Z,168.20146,-44.5932,2.84,84.6295,ML,,GROPE,reviewed,manual,nz1dr,18,14,15,0.213,152,0.19419,0.171,3,2008
2887021,earthquake,2008-03-30 05:41:12.340000+00:00,2013-02-18T14:16:00.000Z,175.52266,-38.93371,2.939,118.5846,ML,,GROPE,reviewed,manual,nz1dr,23,19,8,0.154,252,0.14557,0.178,3,2008
2887016,earthquake,2008-03-30 05:25:22.169000+00:00,2013-02-18T14:16:00.000Z,175.66077,-39.56381,1.694,22.4098,ML,,GROPE,reviewed,manual,nz1dr,11,7,7,0.171,295,0.13011,0.043,3,2008
2887000,earthquake,2008-03-30 04:35:40.060000+00:00,2013-02-18T14:16:00.000Z,175.91672,-38.52166,1.916,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,19,17,7,0.051,84,0.18798,0.285,3,2008
2886998,earthquake,2008-03-30 04:32:28.398000+00:00,2013-02-18T14:16:00.000Z,175.17067,-39.25157,1.461,12.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,7,5,6,0.269,289,0.11397,0.077,3,2008
2886978,earthquake,2008-03-30 03:29:59.447000+00:00,2013-02-18T14:16:00.000Z,176.5797,-40.26096,2.02,13.6745,ML,,GROPE,reviewed,manual,nz1dr,8,6,4,0.043,112,0.30075,0.149,3,2008
2886964,earthquake,2008-03-30 02:38:20.246000+00:00,2013-02-18T14:16:00.000Z,175.40559,-41.02633,2.065,24.9948,ML,,GROPE,reviewed,manual,nz1dr,13,8,5,0.152,61,0.10268,0.293,3,2008
2886948,quarry blast,2008-03-30 01:40:08.675000+00:00,2013-02-18T14:16:00.000Z,175.07001,-37.62001,2.359,0.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,4,4,2,0.361,177,0.06797,0.158,3,2008
2886934,earthquake,2008-03-30 00:52:04.846000+00:00,2013-02-18T14:16:00.000Z,175.56334,-39.277,1.436,2.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,2,2,2,0.0,338,0.64172,0.599,3,2008
2886929,earthquake,2008-03-30 00:34:20.330000+00:00,2013-02-18T14:16:00.000Z,174.13921,-41.6921,2.325,11.2137,ML,,GROPE,reviewed,manual,nz1dr,15,12,13,0.081,75,0.21929,0.23,3,2008
2886903,earthquake,2008-03-29 23:00:06.924000+00:00,2013-02-18T14:16:00.000Z,174.05319,-40.51622,2.807,97.252,ML,,GROPE,reviewed,manual,nz1dr,23,14,9,0.304,203,0.27462,0.21,3,2008
2886890,earthquake,2008-03-29 22:11:33.798000+00:00,2013-02-18T14:16:00.000Z,167.22131,-44.84047,2.342,47.8819,ML,,GROPE,reviewed,manual,nz1dr,10,5,7,0.529,232,0.32426,0.232,3,2008
2886884,earthquake,2008-03-29 21:50:56.346000+00:00,2013-02-18T14:16:00.000Z,176.83273,-37.77744,1.886,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,9,6,4,0.231,240,0.18093,0.09,3,2008
2886875,earthquake,2008-03-29 21:17:33.590000+00:00,2013-02-18T14:16:00.000Z,176.75383,-38.07804,1.909,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,12,8,5,0.032,147,0.21882,0.243,3,2008
2886810,earthquake,2008-03-29 18:21:08.942000+00:00,2013-02-18T14:16:00.000Z,169.61775,-44.02511,1.582,12.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,7,4,4,0.512,116,0.31167,0.084,3,2008
2886804,earthquake,2008-03-29 18:02:45.408000+00:00,2013-02-18T14:16:00.000Z,175.08212,-41.0759,2.466,27.118,ML,,GROPE,reviewed,manual,nz1dr,25,17,11,0.035,47,0.1503,0.128,3,2008
2886801,earthquake,2008-03-29 17:54:52.702000+00:00,2013-02-18T14:16:00.000Z,168.34206,-44.40248,2.206,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,9,6,9,0.403,177,0.2769,0.224,3,2008
2886788,earthquake,2008-03-29 17:20:11.675000+00:00,2013-02-18T14:16:00.000Z,171.64391,-42.12867,2.822,12.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,8,5,11,0.4,162,0.18911,0.265,3,2008
2886785,earthquake,2008-03-29 17:13:06.585000+00:00,2013-02-18T14:16:00.000Z,177.69051,-36.26597,3.497,201.2074,ML,,GROPE,reviewed,manual,nz1dr,11,7,5,1.387,316,0.10804,0.301,3,2008
2886763,earthquake,2008-03-29 16:13:04.088000+00:00,2013-02-18T14:16:00.000Z,167.59113,-44.96421,2.495,89.2176,ML,,GROPE,reviewed,manual,nz1dr,15,11,9,0.375,189,0.17714,0.249,3,2008
2886755,earthquake,2008-03-29 15:49:07.552000+00:00,2013-02-18T14:16:00.000Z,175.64714,-39.09271,1.466,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,9,6,6,0.006,148,0.07621,0.236,3,2008
2886752,earthquake,2008-03-29 15:36:41.112000+00:00,2013-02-18T14:16:00.000Z,176.03188,-40.46831,2.655,51.869,ML,,GROPE,reviewed,manual,nz1dr,31,27,5,0.197,76,0.29286,0.129,3,2008
2886745,earthquake,2008-03-29 15:13:11.381000+00:00,2013-02-18T14:16:00.000Z,176.69868,-37.8069,2.101,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,13,9,6,0.121,207,0.25963,0.071,3,2008
2886738,earthquake,2008-03-29 14:53:10.096000+00:00,2013-02-18T14:16:00.000Z,175.83928,-37.85349,3.177,247.7642,ML,,GROPE,reviewed,manual,nz1dr,17,10,12,1.083,237,0.22509,0.299,3,2008
2886731,earthquake,2008-03-29 14:39:52.153000+00:00,2013-02-18T14:16:00.000Z,175.87317,-38.83421,1.628,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,14,11,9,0.086,150,0.17371,0.139,3,2008
2886728,earthquake,2008-03-29 14:32:28.209000+00:00,2013-02-18T14:16:00.000Z,174.8844,-39.23053,3.542,203.7791,ML,,GROPE,reviewed,manual,nz1dr,42,36,11,0.143,89,0.16171,0.153,3,2008
2886717,earthquake,2008-03-29 14:06:41.477000+00:00,2013-02-18T14:16:00.000Z,175.41521,-39.23994,1.544,20.3554,ML,,GROPE,reviewed,manual,nz1dr,10,7,7,0.107,202,0.08518,0.152,3,2008
2886692,earthquake,2008-03-29 12:37:31.643000+00:00,2013-02-18T14:16:00.000Z,175.44725,-39.24269,1.824,21.4627,ML,,GROPE,reviewed,manual,nz1dr,17,12,7,0.083,200,0.11664,0.099,3,2008
2886686,earthquake,2008-03-29 12:16:19.788000+00:00,2013-02-18T14:16:00.000Z,167.59286,-44.94385,2.948,75.2927,ML,,GROPE,reviewed,manual,nz1dr,17,12,4,0.359,191,0.14729,0.092,3,2008
2886668,earthquake,2008-03-29 11:25:33.344000+00:00,2013-02-18T14:16:00.000Z,177.45589,-39.30691,2.074,23.2974,ML,,GROPE,reviewed,manual,nz1dr,8,5,2,0.329,155,0.33222,0.028,3,2008
2886630,earthquake,2008-03-29 09:36:15.944000+00:00,2013-02-18T14:16:00.000Z,177.83694,-38.83228,2.505,24.2743,ML,,GROPE,reviewed,manual,nz1dr,10,6,2,0.099,119,0.31582,0.09,3,2008
2886621,earthquake,2008-03-29 09:16:59.292000+00:00,2013-02-18T14:16:00.000Z,177.69313,-38.93856,2.036,31.8818,ML,,GROPE,reviewed,manual,nz1dr,7,4,1,0.086,158,0.32529,0.0,3,2008
2886618,earthquake,2008-03-29 09:11:14.871000+00:00,2013-02-18T14:16:00.000Z,176.27869,-38.28677,3.112,105.8907,ML,,GROPE,reviewed,manual,nz1dr,31,28,14,0.105,190,0.18018,0.14,3,2008
2886609,earthquake,2008-03-29 08:46:45.664000+00:00,2013-02-18T14:16:00.000Z,178.9343,-39.72514,2.587,33.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,11,7,6,0.979,288,0.39358,0.125,3,2008
2886594,earthquake,2008-03-29 07:52:53.041000+00:00,2013-02-18T14:16:00.000Z,175.66077,-39.48158,2.775,11.9561,ML,,GROPE,reviewed,manual,nz1dr,41,39,25,0.102,45,0.24002,0.162,3,2008
