publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty,Month,Year
2887895,earthquake,2008-03-31 23:44:54.355000+00:00,2013-02-18T14:17:00.000Z,169.98788,-44.31204,2.676,9.5488,ML,,GROPE,reviewed,manual,nz1dr,13,10,6,0.16,66,0.2668,0.148,3,2008
2887883,quarry blast,2008-03-31 23:05:08.620000+00:00,2013-02-18T14:17:00.000Z,170.42999,-45.36,2.394,0.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,6,6,7,0.349,191,0.25002,0.15,3,2008
2887844,earthquake,2008-03-31 21:10:09.348000+00:00,2013-02-18T14:17:00.000Z,177.89928,-35.54239,3.677,33.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,9,5,3,2.044,338,0.21764,0.154,3,2008
2887833,earthquake,2008-03-31 20:27:57.400000+00:00,2013-02-18T14:17:00.000Z,175.54178,-39.4058,2.904,74.4832,ML,,GROPE,reviewed,manual,nz1dr,25,22,5,0.059,63,0.19418,0.135,3,2008
2887830,earthquake,2008-03-31 20:20:35.762000+00:00,2013-02-18T14:17:00.000Z,174.90617,-40.11324,2.46,12.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,30,24,6,0.362,132,0.28608,0.167,3,2008
2887825,earthquake,2008-03-31 20:02:50.234000+00:00,2013-02-18T14:17:00.000Z,172.24776,-40.66898,2.535,12.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,7,4,4,0.266,286,0.15468,0.253,3,2008
2887817,earthquake,2008-03-31 19:29:30.636000+00:00,2013-02-18T14:17:00.000Z,175.87128,-41.07312,2.012,26.01,ML,,GROPE,reviewed,manual,nz1dr,12,7,3,0.038,187,0.13003,0.103,3,2008
2887816,earthquake,2008-03-31 19:26:57.845000+00:00,2013-02-18T14:17:00.000Z,175.87947,-40.9282,2.245,24.2662,ML,,GROPE,reviewed,manual,nz1dr,17,10,6,0.15,128,0.14232,0.126,3,2008
2887800,earthquake,2008-03-31 18:34:16.119000+00:00,2013-02-18T14:17:00.000Z,176.83038,-39.3156,2.933,30.1052,ML,,GROPE,reviewed,manual,nz1dr,27,26,17,0.301,72,0.29307,0.17,3,2008
2887760,earthquake,2008-03-31 16:31:59.587000+00:00,2013-02-18T14:17:00.000Z,167.46938,-45.13201,2.42,118.6624,ML,,GROPE,reviewed,manual,nz1dr,14,9,7,0.402,182,0.15363,0.173,3,2008
2887756,earthquake,2008-03-31 16:14:56.387000+00:00,2013-02-18T14:17:00.000Z,176.27327,-37.72828,3.311,178.53,ML,,GROPE,reviewed,manual,nz1dr,16,12,9,0.849,251,0.11904,0.19,3,2008
2887746,earthquake,2008-03-31 15:51:18.105000+00:00,2013-02-18T14:17:00.000Z,167.14095,-45.37361,2.923,94.6243,ML,,GROPE,reviewed,manual,nz1dr,14,9,9,0.093,225,0.14436,0.108,3,2008
2887743,earthquake,2008-03-31 15:40:32.650000+00:00,2013-02-18T14:17:00.000Z,176.89374,-39.91658,2.804,47.2494,ML,,GROPE,reviewed,manual,nz1dr,14,9,4,0.118,163,0.22615,0.181,3,2008
2887742,earthquake,2008-03-31 15:36:30.328000+00:00,2013-02-18T14:17:00.000Z,167.29059,-44.80947,2.174,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,9,5,6,0.473,246,0.32986,0.274,3,2008
2887732,earthquake,2008-03-31 14:56:08.284000+00:00,2013-02-18T14:17:00.000Z,174.96024,-40.48584,1.794,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,9,7,5,0.369,176,0.14677,0.052,3,2008
2887711,earthquake,2008-03-31 13:47:05.200000+00:00,2013-02-18T14:17:00.000Z,177.48859,-39.30439,2.022,25.1789,ML,,GROPE,reviewed,manual,nz1dr,8,6,1,0.315,159,0.14511,0.0,3,2008
2887696,earthquake,2008-03-31 12:57:47.108000+00:00,2013-02-18T14:17:00.000Z,174.53682,-41.36152,2.383,30.3915,ML,,GROPE,reviewed,manual,nz1dr,24,19,5,0.136,104,0.19999,0.104,3,2008
2887652,earthquake,2008-03-31 11:11:30.088000+00:00,2013-02-18T14:17:00.000Z,167.61165,-45.11589,2.353,113.4775,ML,,GROPE,reviewed,manual,nz1dr,13,9,8,0.438,164,0.16671,0.168,3,2008
2887631,earthquake,2008-03-31 10:18:07.106000+00:00,2013-02-18T14:17:00.000Z,167.47394,-45.09996,2.29,93.1293,ML,,GROPE,reviewed,manual,nz1dr,12,8,6,0.43,225,0.16341,0.181,3,2008
2887619,earthquake,2008-03-31 09:36:41.026000+00:00,2013-02-18T14:17:00.000Z,176.60178,-40.32457,2.332,21.4213,ML,,GROPE,reviewed,manual,nz1dr,17,12,3,0.062,183,0.43412,0.056,3,2008
2887607,earthquake,2008-03-31 08:58:58.775000+00:00,2013-02-18T14:17:00.000Z,167.33736,-44.86573,2.317,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,8,5,7,0.614,257,0.19666,0.226,3,2008
2887606,earthquake,2008-03-31 08:55:40.583000+00:00,2013-02-18T14:17:00.000Z,179.3436,-37.61167,3.338,12.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,10,7,6,0.825,303,0.16426,0.167,3,2008
2887597,earthquake,2008-03-31 08:26:45.680000+00:00,2013-02-18T14:17:00.000Z,174.05562,-41.9243,2.15,12.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,13,10,12,0.247,175,0.2273,0.18,3,2008
2887569,earthquake,2008-03-31 07:14:57.036000+00:00,2013-02-18T14:17:00.000Z,177.43893,-37.15346,3.367,150.6784,ML,,GROPE,reviewed,manual,nz1dr,12,9,8,1.125,289,0.22502,0.246,3,2008
2887562,earthquake,2008-03-31 06:57:11.600000+00:00,2013-02-18T14:17:00.000Z,175.76074,-39.05517,1.268,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,9,5,4,0.094,183,0.09032,0.107,3,2008
2887550,earthquake,2008-03-31 06:23:14.151000+00:00,2013-02-18T14:17:00.000Z,176.77896,-39.9025,2.871,46.4153,ML,,GROPE,reviewed,manual,nz1dr,15,11,3,0.13,110,0.21131,0.082,3,2008
2887541,earthquake,2008-03-31 05:55:52.439000+00:00,2013-02-18T14:17:00.000Z,174.74658,-40.86926,3.338,14.8801,ML,,GROPE,reviewed,manual,nz1dr,38,32,34,0.124,93,0.28393,0.195,3,2008
2887441,earthquake,2008-03-31 01:30:20.107000+00:00,2013-02-18T14:17:00.000Z,176.5544,-40.0389,2.411,51.2205,ML,,GROPE,reviewed,manual,nz1dr,11,6,3,0.092,182,0.08278,0.158,3,2008
2887430,earthquake,2008-03-31 00:58:35.857000+00:00,2013-02-18T14:17:00.000Z,174.85083,-39.06969,3.021,208.5561,ML,,GROPE,reviewed,manual,nz1dr,12,10,6,0.554,135,0.23782,0.236,3,2008
2887417,earthquake,2008-03-31 00:23:36.545000+00:00,2013-02-18T14:17:00.000Z,175.65129,-39.47311,3.174,12.8436,ML,,GROPE,reviewed,manual,nz1dr,52,46,32,0.102,43,0.29296,0.166,3,2008
2887415,earthquake,2008-03-31 00:17:17.445000+00:00,2013-02-18T14:17:00.000Z,175.89792,-38.88887,1.768,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,7,7,10,0.095,187,0.28805,0.123,3,2008
2887388,earthquake,2008-03-30 22:51:05.714000+00:00,2013-02-18T14:17:00.000Z,174.44753,-39.52711,2.638,133.4021,ML,,GROPE,reviewed,manual,nz1dr,10,8,4,0.898,205,0.39435,0.134,3,2008
2887375,earthquake,2008-03-30 22:16:31.165000+00:00,2013-02-18T14:17:00.000Z,175.96141,-38.85022,2.141,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,16,15,9,0.149,167,0.10564,0.106,3,2008
2887344,earthquake,2008-03-30 20:52:18.299000+00:00,2013-02-18T14:17:00.000Z,174.77899,-40.8289,2.072,56.5543,ML,,GROPE,reviewed,manual,nz1dr,8,4,3,0.104,223,0.10727,0.222,3,2008
2887336,earthquake,2008-03-30 20:32:01.872000+00:00,2013-02-18T14:17:00.000Z,174.06396,-41.93996,1.961,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,7,6,3,0.22,188,0.22522,0.014,3,2008
2887310,earthquake,2008-03-30 19:12:22.717000+00:00,2013-02-18T14:17:00.000Z,167.91347,-44.67212,3.03,99.0908,ML,,GROPE,reviewed,manual,nz1dr,18,14,5,0.01,193,0.20338,0.153,3,2008
2887302,earthquake,2008-03-30 18:47:42.039000+00:00,2013-02-18T14:17:00.000Z,174.96222,-40.19167,2.504,12.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,27,24,5,0.435,125,0.31931,0.135,3,2008
2887288,earthquake,2008-03-30 18:11:24.183000+00:00,2013-02-18T14:17:00.000Z,174.05977,-41.92312,2.304,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,16,14,11,0.207,168,0.33056,0.159,3,2008
2887287,earthquake,2008-03-30 18:07:55.757000+00:00,2013-02-18T14:17:00.000Z,174.06201,-41.91738,2.157,12.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,14,11,11,0.201,175,0.1555,0.095,3,2008
2887286,earthquake,2008-03-30 18:05:31.230000+00:00,2013-02-18T14:17:00.000Z,175.93738,-38.83841,1.515,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,8,8,6,0.133,122,0.09986,0.096,3,2008
2887284,earthquake,2008-03-30 18:00:15.750000+00:00,2013-02-18T14:17:00.000Z,175.83086,-41.09087,1.675,23.6366,ML,,GROPE,reviewed,manual,nz1dr,13,8,3,0.048,88,0.11799,0.136,3,2008
2887280,earthquake,2008-03-30 17:47:19.135000+00:00,2013-02-18T14:17:00.000Z,174.97278,-40.20157,2.446,12.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,33,28,5,0.445,128,0.38054,0.12,3,2008
2887276,earthquake,2008-03-30 17:36:33.165000+00:00,2013-02-18T14:17:00.000Z,172.64679,-41.32814,2.698,138.4667,ML,,GROPE,reviewed,manual,nz1dr,14,9,4,0.477,114,0.23512,0.299,3,2008
2887273,earthquake,2008-03-30 17:23:02.541000+00:00,2013-02-18T14:17:00.000Z,177.23724,-39.67999,2.609,25.2547,ML,,GROPE,reviewed,manual,nz1dr,8,4,2,0.125,268,0.23596,0.075,3,2008
2887272,earthquake,2008-03-30 17:20:01.982000+00:00,2013-02-18T14:17:00.000Z,175.94511,-38.8546,1.663,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,13,13,10,0.121,91,0.29591,0.123,3,2008
2887269,earthquake,2008-03-30 17:11:09.076000+00:00,2013-02-18T14:17:00.000Z,167.53534,-45.05708,2.388,75.5888,ML,,GROPE,reviewed,manual,nz1dr,16,11,11,0.472,183,0.07228,0.159,3,2008
2887267,earthquake,2008-03-30 17:04:59.304000+00:00,2013-02-18T14:17:00.000Z,179.66028,-35.58417,4.148,33.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,11,9,7,2.257,312,0.20811,0.263,3,2008
2887256,earthquake,2008-03-30 16:34:14.179000+00:00,2013-02-18T14:17:00.000Z,176.37643,-40.57436,2.31,45.5296,ML,,GROPE,reviewed,manual,nz1dr,12,8,6,0.146,190,0.10064,0.127,3,2008
2887252,earthquake,2008-03-30 16:24:19.565000+00:00,2013-02-18T14:17:00.000Z,178.00346,-38.58606,2.593,33.8116,ML,,GROPE,reviewed,manual,nz1dr,11,8,4,0.189,130,0.22534,0.248,3,2008
2887250,earthquake,2008-03-30 16:17:37.886000+00:00,2013-02-18T14:17:00.000Z,174.88374,-40.10365,2.48,12.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,31,28,27,0.356,128,0.31657,0.181,3,2008
2887239,earthquake,2008-03-30 15:47:50.485000+00:00,2013-02-18T14:17:00.000Z,174.57574,-41.66771,2.038,30.4912,ML,,GROPE,reviewed,manual,nz1dr,15,13,9,0.37,147,0.17723,0.264,3,2008
2887235,earthquake,2008-03-30 15:32:06.509000+00:00,2013-02-18T14:17:00.000Z,174.96024,-40.187,2.719,12.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,42,39,16,0.431,102,0.24772,0.114,3,2008
2887212,earthquake,2008-03-30 14:27:54.140000+00:00,2013-02-18T14:17:00.000Z,174.97391,-39.71413,2.691,84.9489,ML,,GROPE,reviewed,manual,nz1dr,28,24,7,0.043,106,0.19041,0.214,3,2008
2887207,earthquake,2008-03-30 14:11:40.671000+00:00,2013-02-18T14:17:00.000Z,175.45839,-40.71197,1.876,24.6358,ML,,GROPE,reviewed,manual,nz1dr,11,8,4,0.104,95,0.20078,0.112,3,2008
2887205,earthquake,2008-03-30 14:08:44.295000+00:00,2013-02-18T14:17:00.000Z,175.95776,-38.83743,1.296,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,9,7,4,0.118,118,0.11323,0.181,3,2008
2887204,earthquake,2008-03-30 14:03:09.630000+00:00,2013-02-18T14:17:00.000Z,173.59337,-41.40827,2.846,86.0539,ML,,GROPE,reviewed,manual,nz1dr,23,18,6,0.249,62,0.29353,0.09,3,2008
2887200,earthquake,2008-03-30 13:52:01.463000+00:00,2013-02-18T14:17:00.000Z,173.91493,-41.1243,2.036,53.2395,ML,,GROPE,reviewed,manual,nz1dr,13,9,5,0.286,88,0.16584,0.195,3,2008
2887199,earthquake,2008-03-30 13:48:31.792000+00:00,2013-02-18T14:17:00.000Z,174.32126,-39.4707,2.577,137.6307,ML,,GROPE,reviewed,manual,nz1dr,12,8,2,0.483,159,0.16521,0.14,3,2008
2887197,earthquake,2008-03-30 13:41:18.357000+00:00,2013-02-18T14:17:00.000Z,175.96123,-38.78963,1.19,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,6,4,5,0.145,253,0.13474,0.224,3,2008
2887189,earthquake,2008-03-30 13:16:51.520000+00:00,2013-02-18T14:17:00.000Z,174.9489,-40.48457,2.48,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,31,27,27,0.373,114,0.4081,0.163,3,2008
2887176,earthquake,2008-03-30 12:37:21.035000+00:00,2013-02-18T14:17:00.000Z,172.90547,-41.22007,2.205,106.8995,ML,,GROPE,reviewed,manual,nz1dr,9,6,3,0.358,144,0.19417,0.136,3,2008
2887159,earthquake,2008-03-30 11:55:18.864000+00:00,2013-02-18T14:17:00.000Z,175.66248,-38.97781,1.288,7.4024,ML,,GROPE,reviewed,manual,nz1dr,14,9,7,0.025,156,0.11742,0.17,3,2008
2887154,earthquake,2008-03-30 11:40:39.247000+00:00,2013-02-18T14:17:00.000Z,174.03461,-40.08358,2.044,12.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,12,9,5,0.724,114,0.14802,0.107,3,2008
2887151,earthquake,2008-03-30 11:33:29.605000+00:00,2013-02-18T14:17:00.000Z,176.80609,-37.79473,3.077,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,21,16,10,0.127,90,0.2141,0.195,3,2008
2887146,earthquake,2008-03-30 11:16:41.774000+00:00,2013-02-18T14:17:00.000Z,176.22853,-40.03141,1.921,26.6102,ML,,GROPE,reviewed,manual,nz1dr,11,9,5,0.166,89,0.33251,0.081,3,2008
2887136,earthquake,2008-03-30 10:54:57.759000+00:00,2013-02-18T14:17:00.000Z,175.66913,-38.9803,1.738,6.6376,ML,,GROPE,reviewed,manual,nz1dr,20,14,8,0.02,92,0.13452,0.112,3,2008
2887131,earthquake,2008-03-30 10:45:35.294000+00:00,2013-02-18T14:17:00.000Z,175.2869,-41.28505,1.892,24.5356,ML,,GROPE,reviewed,manual,nz1dr,19,13,6,0.135,74,0.11963,0.046,3,2008
2887129,earthquake,2008-03-30 10:39:19.692000+00:00,2013-02-18T14:17:00.000Z,177.87914,-37.41612,2.894,61.044,ML,,GROPE,reviewed,manual,nz1dr,13,9,5,0.371,184,0.22371,0.171,3,2008
