publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty,Month,Year
2207507,earthquake,2004-03-31 23:52:17.737000+00:00,2010-01-13T22:37:00.000Z,177.04237,-37.14639,4.312,203.9742,ML,,GROPE,reviewed,manual,nz1dr,20,17,12,1.09,242,0.1474,0.157,3,2004
2207489,earthquake,2004-03-31 23:12:51.485000+00:00,2010-01-13T22:37:00.000Z,176.85924,-37.68002,2.737,122.4196,ML,,GROPE,reviewed,manual,nz1dr,10,4,4,0.613,254,0.17882,0.185,3,2004
2207474,earthquake,2004-03-31 22:28:16.747000+00:00,2010-01-13T22:37:00.000Z,176.45744,-39.65909,2.068,26.7978,ML,,GROPE,reviewed,manual,nz1dr,13,9,7,0.492,186,0.10666,0.083,3,2004
2207473,earthquake,2004-03-31 22:20:37.881000+00:00,2010-01-13T22:37:00.000Z,175.69116,-37.75035,2.263,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,8,4,4,0.151,133,0.16017,0.099,3,2004
2207460,earthquake,2004-03-31 21:46:51.579000+00:00,2010-01-13T22:37:00.000Z,175.17152,-40.70572,1.902,31.8067,ML,,GROPE,reviewed,manual,nz1dr,8,5,4,0.253,318,0.17728,0.138,3,2004
2207456,earthquake,2004-03-31 21:37:41.607000+00:00,2010-01-13T22:37:00.000Z,167.39001,-45.32893,2.3,12.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,11,5,5,0.515,244,0.14607,0.096,3,2004
2207453,earthquake,2004-03-31 21:30:14.653000+00:00,2010-01-13T22:37:00.000Z,177.01929,-37.97169,3.043,92.329,ML,,GROPE,reviewed,manual,nz1dr,15,10,6,0.298,201,0.13464,0.222,3,2004
2207438,earthquake,2004-03-31 20:59:49.319000+00:00,2010-01-13T22:37:00.000Z,175.72867,-41.21708,3.281,26.2668,ML,,GROPE,reviewed,manual,nz1dr,27,20,9,0.181,185,0.12092,0.18,3,2004
2207403,earthquake,2004-03-31 19:25:17.802000+00:00,2010-01-13T22:37:00.000Z,173.38181,-40.61251,3.273,165.623,ML,,GROPE,reviewed,manual,nz1dr,21,14,7,0.606,159,0.13247,0.253,3,2004
2207402,earthquake,2004-03-31 19:22:28.547000+00:00,2010-01-13T22:37:00.000Z,174.69037,-40.83013,2.189,8.927,ML,,GROPE,reviewed,manual,nz1dr,13,8,8,0.169,213,0.12122,0.198,3,2004
2207401,earthquake,2004-03-31 19:18:17.277000+00:00,2010-01-13T22:37:00.000Z,173.25272,-42.99699,2.096,26.9071,ML,,GROPE,reviewed,manual,nz1dr,8,4,4,0.618,191,0.08708,0.227,3,2004
2207394,earthquake,2004-03-31 18:51:42.112000+00:00,2010-01-13T22:37:00.000Z,179.02199,-37.84307,3.134,48.6095,ML,,GROPE,reviewed,manual,nz1dr,7,5,5,0.632,286,0.26239,0.131,3,2004
2207391,earthquake,2004-03-31 18:43:26.529000+00:00,2010-01-13T22:37:00.000Z,176.61246,-37.96907,2.581,133.8152,ML,,GROPE,reviewed,manual,nz1dr,6,3,3,0.489,293,0.07129,0.048,3,2004
2207390,earthquake,2004-03-31 18:40:10.473000+00:00,2010-01-13T22:37:00.000Z,176.78459,-37.49075,3.386,187.0029,ML,,GROPE,reviewed,manual,nz1dr,11,8,8,1.028,263,0.0926,0.263,3,2004
2207387,earthquake,2004-03-31 18:35:50.115000+00:00,2010-01-13T22:37:00.000Z,177.44746,-36.75188,3.751,167.9092,ML,,GROPE,reviewed,manual,nz1dr,16,12,14,1.062,278,0.18572,0.274,3,2004
2207366,earthquake,2004-03-31 17:30:51.911000+00:00,2010-01-13T22:37:00.000Z,176.02606,-38.48273,2.213,97.7857,ML,,GROPE,reviewed,manual,nz1dr,6,3,3,0.775,284,0.09139,0.111,3,2004
2207363,earthquake,2004-03-31 17:26:47.179000+00:00,2010-01-13T22:37:00.000Z,176.23505,-37.8034,3.37,188.2743,ML,,GROPE,reviewed,manual,nz1dr,20,15,12,0.829,220,0.19403,0.097,3,2004
2207349,earthquake,2004-03-31 16:25:05.401000+00:00,2010-01-13T22:37:00.000Z,172.67026,-41.29845,2.925,177.7197,ML,,GROPE,reviewed,manual,nz1dr,11,8,4,0.483,112,0.15255,0.199,3,2004
2207343,earthquake,2004-03-31 15:49:15.943000+00:00,2010-01-13T22:37:00.000Z,166.91093,-45.16799,2.495,20.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,8,3,5,0.874,281,0.15096,0.102,3,2004
2207329,earthquake,2004-03-31 14:50:29.529000+00:00,2010-01-13T22:37:00.000Z,178.73611,-35.90476,3.387,171.063,ML,,GROPE,reviewed,manual,nz1dr,9,6,6,1.692,342,0.20869,0.225,3,2004
2207327,earthquake,2004-03-31 14:36:55.477000+00:00,2010-01-13T22:37:00.000Z,176.14854,-37.95734,2.311,131.7145,ML,,GROPE,reviewed,manual,nz1dr,6,3,3,0.817,302,0.09871,0.047,3,2004
2207323,earthquake,2004-03-31 14:21:02.428000+00:00,2010-01-13T22:37:00.000Z,173.39775,-41.44305,2.193,90.5313,ML,,GROPE,reviewed,manual,nz1dr,10,6,2,0.224,96,0.18837,0.111,3,2004
2207316,earthquake,2004-03-31 13:50:50.588000+00:00,2010-01-13T22:37:00.000Z,166.89449,-45.81376,2.758,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,6,3,3,0.74,326,0.17837,0.078,3,2004
2207300,earthquake,2004-03-31 13:02:53.728000+00:00,2010-01-13T22:37:00.000Z,171.8573,-41.90997,2.902,11.6717,ML,,GROPE,reviewed,manual,nz1dr,11,6,9,0.168,131,0.11126,0.216,3,2004
2207296,earthquake,2004-03-31 12:40:33.902000+00:00,2010-01-13T22:37:00.000Z,175.08296,-39.44568,2.366,28.2987,ML,,GROPE,reviewed,manual,nz1dr,30,21,18,0.319,62,0.12678,0.126,3,2004
2207286,earthquake,2004-03-31 12:18:22.767000+00:00,2010-01-13T22:37:00.000Z,167.0256,-45.13642,1.868,11.2665,ML,,GROPE,reviewed,manual,nz1dr,6,3,2,0.09,243,0.00353,0.103,3,2004
2207277,earthquake,2004-03-31 11:41:10.444000+00:00,2010-01-13T22:37:00.000Z,177.14989,-37.7397,2.453,126.7724,ML,,GROPE,reviewed,manual,nz1dr,9,6,3,0.521,289,0.14388,0.202,3,2004
2207254,earthquake,2004-03-31 10:22:28.105000+00:00,2010-01-13T22:37:00.000Z,175.16701,-41.24319,1.937,25.9067,ML,,GROPE,reviewed,manual,nz1dr,13,8,7,0.127,99,0.11458,0.121,3,2004
2207245,earthquake,2004-03-31 09:52:34.004000+00:00,2010-01-13T22:37:00.000Z,173.60988,-40.15471,3.588,166.1619,ML,,GROPE,reviewed,manual,nz1dr,41,30,15,0.853,143,0.16641,0.294,3,2004
2207237,earthquake,2004-03-31 09:20:47.887000+00:00,2010-01-13T22:37:00.000Z,167.54614,-45.08472,2.799,111.8302,ML,,GROPE,reviewed,manual,nz1dr,8,4,4,0.491,233,0.17615,0.08,3,2004
2207236,earthquake,2004-03-31 09:05:52.949000+00:00,2010-01-13T22:37:00.000Z,175.89128,-38.34317,3.107,182.7253,ML,,GROPE,reviewed,manual,nz1dr,17,11,7,0.713,218,0.13548,0.209,3,2004
2207230,earthquake,2004-03-31 08:50:28.755000+00:00,2010-01-13T22:37:00.000Z,166.80241,-45.3703,2.134,51.7042,ML,,GROPE,reviewed,manual,nz1dr,10,5,4,0.371,267,0.14609,0.193,3,2004
2207228,earthquake,2004-03-31 08:36:14.302000+00:00,2010-01-13T22:37:00.000Z,176.09276,-38.28104,3.45,158.6763,ML,,GROPE,reviewed,manual,nz1dr,25,16,12,0.801,202,0.15315,0.196,3,2004
2207219,earthquake,2004-03-31 08:01:47.493000+00:00,2010-01-13T22:37:00.000Z,167.0538,-45.0435,3.218,20.0826,ML,,GROPE,reviewed,manual,nz1dr,10,5,11,0.018,206,0.28459,0.187,3,2004
2207212,earthquake,2004-03-31 07:30:59.451000+00:00,2010-01-13T22:37:00.000Z,177.98877,-38.55712,2.021,33.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,7,4,3,0.071,145,0.07503,0.194,3,2004
2207198,earthquake,2004-03-31 06:46:00.478000+00:00,2010-01-13T22:37:00.000Z,176.32819,-39.38145,3.25,75.3289,ML,,GROPE,reviewed,manual,nz1dr,33,25,11,0.249,106,0.16083,0.239,3,2004
2207196,earthquake,2004-03-31 06:39:35.341000+00:00,2007-11-13T14:15:00.000Z,173.30005,-40.65169,-9.0,128.2548,ML,,GROPE,reviewed,manual,nz1dr,6,3,0,0.57,281,0.06127,0.0,3,2004
2207147,earthquake,2004-03-31 05:34:10.367000+00:00,2010-01-13T22:37:00.000Z,173.0567,-43.03613,1.907,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,6,3,3,0.63,174,0.07915,0.135,3,2004
2207054,earthquake,2004-03-31 04:58:16.388000+00:00,2010-01-13T22:37:00.000Z,175.81178,-39.36345,2.226,64.2686,ML,,GROPE,reviewed,manual,nz1dr,10,7,2,0.154,127,0.07852,0.202,3,2004
2207049,earthquake,2004-03-31 04:34:21.877000+00:00,2010-01-13T22:37:00.000Z,166.9774,-45.31461,2.524,18.1502,ML,,GROPE,reviewed,manual,nz1dr,6,3,3,0.271,244,0.11548,0.179,3,2004
2206942,earthquake,2004-03-31 00:06:43.320000+00:00,2010-01-13T22:37:00.000Z,177.11798,-36.86065,3.259,207.4884,ML,,GROPE,reviewed,manual,nz1dr,14,8,6,1.18,291,0.20299,0.233,3,2004
2206940,earthquake,2004-03-31 00:00:06.030000+00:00,2007-11-13T14:15:00.000Z,173.61984,-41.12086,-9.0,77.8894,ML,,GROPE,reviewed,manual,nz1dr,6,3,0,0.206,291,0.11898,0.0,3,2004
2206939,earthquake,2004-03-30 23:55:14.207000+00:00,2010-01-13T22:37:00.000Z,176.34976,-37.56071,4.206,279.7535,ML,,GROPE,reviewed,manual,nz1dr,28,22,7,0.444,223,0.16672,0.11,3,2004
2206932,earthquake,2004-03-30 23:24:47.139000+00:00,2010-01-13T22:37:00.000Z,176.41907,-38.28628,1.663,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,4,3,3,0.088,180,0.15035,0.092,3,2004
2206885,earthquake,2004-03-30 20:58:33.490000+00:00,2010-01-13T22:37:00.000Z,175.73074,-39.81626,2.232,29.8696,ML,,GROPE,reviewed,manual,nz1dr,19,12,10,0.301,132,0.18191,0.108,3,2004
2206856,earthquake,2004-03-30 19:38:51.370000+00:00,2010-01-13T22:37:00.000Z,177.48186,-37.11747,2.701,33.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,6,3,2,1.179,330,0.16779,0.091,3,2004
2206853,earthquake,2004-03-30 19:29:50.023000+00:00,2010-01-13T22:37:00.000Z,175.05843,-41.08386,2.113,29.0816,ML,,GROPE,reviewed,manual,nz1dr,9,6,6,0.026,130,0.09744,0.155,3,2004
2206850,earthquake,2004-03-30 19:19:04.823000+00:00,2010-01-13T22:37:00.000Z,177.20143,-38.32085,2.262,44.4179,ML,,GROPE,reviewed,manual,nz1dr,7,3,3,0.093,143,0.06238,0.232,3,2004
2206848,earthquake,2004-03-30 19:16:23.185000+00:00,2010-01-13T22:37:00.000Z,175.40059,-39.14026,1.214,12.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,7,4,3,0.129,280,0.03188,0.138,3,2004
2206842,earthquake,2004-03-30 18:58:47.148000+00:00,2010-01-13T22:37:00.000Z,166.79123,-45.19875,2.722,22.8711,ML,,GROPE,reviewed,manual,nz1dr,12,6,8,0.07,278,0.19679,0.189,3,2004
2365092,earthquake,2004-03-30 16:28:06.490000+00:00,2010-01-13T22:37:00.000Z,172.25656,-41.52056,1.396,12.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,9,3,3,0.407,141,0.07824,0.176,3,2004
2206793,earthquake,2004-03-30 15:49:57.956000+00:00,2010-01-13T22:37:00.000Z,175.76886,-38.96074,2.64,102.7843,ML,,GROPE,reviewed,manual,nz1dr,12,9,2,0.184,213,0.20969,0.198,3,2004
2206789,earthquake,2004-03-30 15:37:20.656000+00:00,2010-01-13T22:37:00.000Z,166.83517,-45.22849,2.018,21.9369,ML,,GROPE,reviewed,manual,nz1dr,6,3,2,0.327,322,0.09498,0.129,3,2004
2206786,earthquake,2004-03-30 15:22:40.112000+00:00,2010-01-13T22:37:00.000Z,174.09819,-42.24276,2.162,12.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,5,3,3,0.448,309,0.22464,0.17,3,2004
2206769,earthquake,2004-03-30 14:36:13.742000+00:00,2010-01-13T22:37:00.000Z,175.75049,-39.81864,2.252,45.8283,ML,,GROPE,reviewed,manual,nz1dr,19,11,2,0.291,130,0.19497,0.183,3,2004
2206759,earthquake,2004-03-30 13:52:26.913000+00:00,2010-01-13T22:37:00.000Z,178.29636,-38.11093,2.554,21.6569,ML,,GROPE,reviewed,manual,nz1dr,9,5,4,0.049,201,0.27803,0.269,3,2004
2206753,earthquake,2004-03-30 13:32:50.153000+00:00,2010-01-13T22:37:00.000Z,174.48752,-40.6993,2.894,51.8235,ML,,GROPE,reviewed,manual,nz1dr,23,15,4,0.36,104,0.23761,0.043,3,2004
2364606,earthquake,2004-03-30 13:32:07.041000+00:00,2010-01-13T22:37:00.000Z,166.54575,-45.76904,2.093,20.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,7,3,2,0.523,317,0.25536,0.091,3,2004
2206752,earthquake,2004-03-30 13:28:04.518000+00:00,2010-01-13T22:37:00.000Z,175.61244,-39.53006,1.958,18.6655,ML,,GROPE,reviewed,manual,nz1dr,20,12,11,0.262,92,0.12068,0.138,3,2004
2206743,earthquake,2004-03-30 13:01:23.311000+00:00,2010-01-13T22:37:00.000Z,175.37392,-39.41745,2.107,7.0232,ML,,GROPE,reviewed,manual,nz1dr,21,14,13,0.03,141,0.11489,0.244,3,2004
2206726,earthquake,2004-03-30 12:06:51.457000+00:00,2010-01-13T22:37:00.000Z,173.81346,-39.72615,2.979,201.3297,ML,,GROPE,reviewed,manual,nz1dr,5,3,1,0.904,254,0.0286,0.0,3,2004
