publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty,Month,Year
3284015,earthquake,2010-03-31 23:42:06.249000+00:00,2013-07-09T16:21:00.000Z,177.62991,-38.22067,2.355,64.1116,ML,,GROPE,reviewed,manual,nz1dr,8,5,2,0.14,111,0.18464,0.299,3,2010
3284013,earthquake,2010-03-31 23:36:30.535000+00:00,2013-07-09T16:20:00.000Z,174.06876,-41.84216,2.847,14.9458,ML,,GROPE,reviewed,manual,nz1dr,12,10,8,0.191,149,0.14802,0.181,3,2010
3283964,earthquake,2010-03-31 21:47:58.339000+00:00,2013-07-09T16:20:00.000Z,178.97693,-38.60438,3.067,12.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,11,7,5,0.615,290,0.31563,0.113,3,2010
3283950,earthquake,2010-03-31 21:17:48.563000+00:00,2013-07-09T16:20:00.000Z,175.73257,-39.48881,1.871,14.2382,ML,,GROPE,reviewed,manual,nz1dr,17,14,14,0.082,134,0.10034,0.157,3,2010
3283939,earthquake,2010-03-31 20:57:46.613000+00:00,2013-07-09T16:20:00.000Z,173.4917,-42.55401,2.383,12.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,6,3,3,0.142,193,0.30365,0.254,3,2010
3283935,earthquake,2010-03-31 20:46:14.349000+00:00,2013-07-09T16:20:00.000Z,174.5106,-41.7716,2.797,29.7582,ML,,GROPE,reviewed,manual,nz1dr,28,21,10,0.223,157,0.18795,0.182,3,2010
3283917,earthquake,2010-03-31 20:17:31.349000+00:00,2013-07-09T16:20:00.000Z,177.88588,-38.52991,2.403,21.9718,ML,,GROPE,reviewed,manual,nz1dr,8,5,2,0.093,217,0.23294,0.391,3,2010
3292218,earthquake,2010-03-31 19:46:30.842000+00:00,2013-07-09T16:21:00.000Z,176.76198,-37.81994,2.22,5.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,15,10,5,0.166,225,0.2336,0.138,3,2010
3292221,earthquake,2010-03-31 19:46:13.192000+00:00,2013-07-09T16:21:00.000Z,174.05862,-41.83242,1.749,11.3781,ML,,GROPE,reviewed,manual,nz1dr,7,5,5,0.142,158,0.17734,0.07,3,2010
3283902,earthquake,2010-03-31 19:45:26.419000+00:00,2013-07-09T16:20:00.000Z,174.0544,-41.84179,1.726,10.9809,ML,,GROPE,reviewed,manual,nz1dr,7,5,5,0.15,160,0.17938,0.041,3,2010
3283897,earthquake,2010-03-31 19:36:16.909000+00:00,2013-07-09T16:20:00.000Z,174.08655,-41.85836,2.985,16.9914,ML,,GROPE,reviewed,manual,nz1dr,30,25,15,0.048,137,0.22091,0.182,3,2010
3283892,earthquake,2010-03-31 19:25:17.572000+00:00,2013-07-09T16:20:00.000Z,177.53148,-39.09754,2.311,28.5547,ML,,GROPE,reviewed,manual,nz1dr,10,8,5,0.133,147,0.2425,0.058,3,2010
3283870,earthquake,2010-03-31 18:24:50.509000+00:00,2013-07-09T16:20:00.000Z,177.5361,-39.10181,2.049,28.3421,ML,,GROPE,reviewed,manual,nz1dr,10,8,3,0.132,149,0.3028,0.051,3,2010
3291813,earthquake,2010-03-31 18:07:32.240000+00:00,2013-07-09T16:21:00.000Z,175.56,-39.28001,0.923,0.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,3,3,3,0.004,164,0.26964,0.302,3,2010
3283865,earthquake,2010-03-31 18:06:53.772000+00:00,2013-07-09T16:20:00.000Z,174.80414,-39.36376,1.851,33.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,11,8,7,0.24,191,0.13698,0.324,3,2010
3283863,earthquake,2010-03-31 17:59:31.413000+00:00,2013-07-09T16:20:00.000Z,176.11916,-38.06814,2.292,149.5069,ML,,GROPE,reviewed,manual,nz1dr,6,3,3,0.805,299,0.17195,0.069,3,2010
3283862,earthquake,2010-03-31 17:56:23.625000+00:00,2013-07-09T16:20:00.000Z,166.51181,-46.40629,2.464,12.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,7,5,5,0.266,273,0.16594,0.18,3,2010
3291808,earthquake,2010-03-31 17:45:57.072000+00:00,2013-07-09T16:21:00.000Z,166.92079,-45.15934,2.94,23.651,ML,,GROPE,reviewed,manual,nz1dr,12,9,11,0.348,244,0.27222,0.207,3,2010
3283857,earthquake,2010-03-31 17:44:01.181000+00:00,2013-07-09T16:20:00.000Z,177.53203,-39.09137,1.626,29.8178,ML,,GROPE,reviewed,manual,nz1dr,8,6,3,0.129,162,0.3528,0.022,3,2010
3283852,earthquake,2010-03-31 17:30:35.090000+00:00,2013-07-09T16:20:00.000Z,175.12889,-41.36784,2.269,24.6848,ML,,GROPE,reviewed,manual,nz1dr,19,13,8,0.103,103,0.10874,0.114,3,2010
3283839,earthquake,2010-03-31 16:52:35.842000+00:00,2013-07-09T16:20:00.000Z,177.44604,-39.14533,1.84,28.6088,ML,,GROPE,reviewed,manual,nz1dr,12,10,5,0.178,159,0.25556,0.061,3,2010
3283837,earthquake,2010-03-31 16:50:15.892000+00:00,2013-07-09T16:20:00.000Z,176.33818,-40.34559,2.455,30.0885,ML,,GROPE,reviewed,manual,nz1dr,23,17,8,0.139,67,0.1713,0.135,3,2010
3291801,earthquake,2010-03-31 16:49:42.518000+00:00,2013-07-09T16:21:00.000Z,178.1772,-38.98032,1.991,24.1911,ML,,GROPE,reviewed,manual,nz1dr,5,4,2,0.236,303,0.15518,0.059,3,2010
3283824,earthquake,2010-03-31 16:17:43.928000+00:00,2013-07-09T16:20:00.000Z,174.03383,-40.54785,2.259,77.1306,ML,,GROPE,reviewed,manual,nz1dr,17,13,5,0.269,102,0.35492,0.268,3,2010
3283813,earthquake,2010-03-31 15:42:13.787000+00:00,2013-07-09T16:20:00.000Z,178.09319,-38.33271,1.777,33.0,ML,operator assigned,GROPE,reviewed,manual,nz1dr,7,5,4,0.177,123,0.13877,0.341,3,2010
3283804,earthquake,2010-03-31 15:16:57.758000+00:00,2013-07-09T16:20:00.000Z,177.52255,-39.107,2.277,28.6204,ML,,GROPE,reviewed,manual,nz1dr,16,12,9,0.144,150,0.24085,0.162,3,2010
